longitude,latitude,fakulte,ndbi_nearest,ndbi_bilinear
27.20484690671441,38.36708504276983,Guzel Sanatlar,0.118496016,0.10212766
27.204961377624944,38.36708484271709,Guzel Sanatlar,0.06636921,0.054593373
27.205075848534342,38.3670846425526,Guzel Sanatlar,0.029802514,0.0058866814
27.204618218635876,38.36717556531527,Guzel Sanatlar,0.10401932,0.1138031
27.204732689690626,38.367175365485416,Guzel Sanatlar,0.067996375,0.09538895
27.204847160744247,38.36717516554379,Guzel Sanatlar,0.08291966,0.09143898
27.204961631796728,38.36717496549041,Guzel Sanatlar,0.055964652,0.06457497
27.20507610284808,38.36717476532528,Guzel Sanatlar,-8.709284E-4,-0.002967359
27.205190573898292,38.36717456504838,Guzel Sanatlar,-0.01676582,-0.0014204546
27.204275058786017,38.367266286910066,Guzel Sanatlar,0.14285715,0.118149824
27.204389529986123,38.36726608741485,Guzel Sanatlar,0.0993419,0.09265982
27.204504001185096,38.36726588780787,Guzel Sanatlar,0.069416784,0.04314758
27.204618472382933,38.36726568808913,Guzel Sanatlar,0.009940892,-0.023042753
27.204732943579643,38.367265488258624,Guzel Sanatlar,-0.03725262,-0.035745423
27.204847414775212,38.36726528831637,Guzel Sanatlar,0.0031842305,-0.023190662
27.204961885969652,38.36726508826234,Guzel Sanatlar,-0.02870494,-0.016993895
27.20507635716295,38.367264888096564,Guzel Sanatlar,0.01997897,0.018775223
27.20519082835512,38.36726468781902,Guzel Sanatlar,0.02902557,0.017654257
27.20530529954615,38.36726448742972,Guzel Sanatlar,0.0033692722,-0.016494846
27.205419770736043,38.36726428692866,Guzel Sanatlar,0.0071530757,-0.003615329
27.204046369420837,38.36735680834091,Guzel Sanatlar,0.12075405,0.1220032
27.204160840765162,38.367356609068565,Guzel Sanatlar,0.087676905,0.099182
27.20427531210835,38.36735640968446,Guzel Sanatlar,0.030703688,0.006774048
27.20438978345041,38.3673562101886,Guzel Sanatlar,-0.0776916,-0.08582781
27.204504254791335,38.367356010580984,Guzel Sanatlar,-0.06235969,-0.09107211
27.20461872613113,38.3673558108616,Guzel Sanatlar,-0.022112383,-0.06189189
27.204733197469793,38.367355611030455,Guzel Sanatlar,0.0030321407,-0.01029344
27.204847668807318,38.36735541108756,Guzel Sanatlar,0.058052134,0.011247272
27.204962140143707,38.367355211032894,Guzel Sanatlar,0.03910016,0.027993498
27.205076611478965,38.36735501086646,Guzel Sanatlar,0.0999811,0.08228946
27.205191082813087,38.36735481058829,Guzel Sanatlar,0.047116738,0.033523537
