fakulte,ort_ndvi,ort_ndbi,ort_contrast,ort_homogeneity,n
Guzel Sanatlar,0.06024567894258374,0.07780194795693779,86.23440704032808,0.16721708808808267,209
Fen Edebiyat,0.12609587645267398,0.10554712894432235,158.33124382231526,0.11913757700819128,273
Isletme,0.21969695107901233,0.01176271597222223,290.69996203213793,0.08972868583443493,162
Denizcilik,0.36536850537347826,-0.04838478315217391,298.20955544053373,0.07772621532077925,69
Hukuk,0.1194089141857143,0.04131185141772728,144.78728934755722,0.15964788206493422,308
Muhendislik,0.19571921530648456,0.04262813877613445,231.44185035125162,0.10870384332562537,714
Mimarlik,0.2191092007513889,0.019584526014212966,243.96052873309816,0.09505827696423859,216
Turizm,0.21299060779343632,0.05916014677110039,105.91477063798493,0.21389563904276468,518
