degisken,H,df,p,epsilon2,etki
ndvi,319.7805196657676,7,3.5918826560344823e-65,0.12709488812099456,orta
ndbi,195.59003396611863,7,9.851647392927557e-39,0.0766314644315801,orta
glcm_contrast,952.8164948028935,7,1.8800923422967708e-201,0.38432202145586897,buyuk
glcm_homogeneity,1281.059611757415,7,2.079254645374867e-272,0.5176999641436063,buyuk
