fakulte,n,nearest_mdn,bilinear_mdn,fark_mdn,nearest_mean,bilinear_mean,fark_mean,nearest_sira,bilinear_sira,sira_farki
Denizcilik,69,-0.053767905,-0.044994768,0.008773137,-0.04838478315217391,-0.04413051401159421,0.004254269140579706,1,1,0
Isletme,162,0.012479750500000001,0.014292259500000001,0.0018125090000000003,0.011762715972222226,0.014192716775925922,0.0024300008037036955,2,2,0
Mimarlik,216,0.017957128500000002,0.01541493125,-0.002542197250000003,0.019584526014212966,0.02256437038328703,0.0029798443690740653,3,3,0
Hukuk,307,0.029122744,0.023861172,-0.005261571999999999,0.041239119044495114,0.04186407151563518,6.249524711400695e-4,4,4,0
Muhendislik,714,0.0346090065,0.033481635499999995,-0.001127371000000002,0.04262813877613445,0.04404481189159664,0.0014166731154621887,5,5,0
Guzel Sanatlar,209,0.051460363,0.042576592,-0.008883770999999999,0.07780194795693779,0.07722803328157896,-5.739146753588331e-4,6,6,0
Turizm,517,0.073406994,0.06990654,-0.003500454,0.059853165314177954,0.05905129459245648,-8.018707217214774e-4,7,7,0
Fen Edebiyat,273,0.08639347,0.0889537,0.0025602299999999967,0.10554712894432235,0.10537166382747251,-1.75465116849835e-4,8,8,0
