degisken,tekrar_sayisi,ortalama_I,min_I,max_I,aralik
glcm_contrast,5,0.8030956921215572,0.7997982320916535,0.8079149012879557,0.008116669196302273
glcm_homogeneity,5,0.8433093194474632,0.8381018448276252,0.8475001121792584,0.009398267351633183
ndbi,5,0.7637869612433246,0.760537147061924,0.7690274151638417,0.008490268101917664
ndvi,5,0.7662179262134405,0.7605410058088042,0.7715341590982285,0.010993153289424296
