degisken_1,degisken_2,rho,p
ndvi,ndbi,-0.4268279218492362,6.866254473221416e-110
ndvi,glcm_contrast,0.3514222710754761,1.108397672091596e-72
ndvi,glcm_homogeneity,-0.32374332857356747,2.4082493472822834e-61
ndbi,glcm_contrast,-0.3665480081670775,2.2269844587437845e-79
ndbi,glcm_homogeneity,0.3402976428743935,5.510214004499465e-68
glcm_contrast,glcm_homogeneity,-0.8198940934184119,0
